period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2014/6/19,,0.01,0.01,0,0
2014/6/20,,0.15,0.17,0.19,0.16
2014/6/21,,0,0,0,0
2014/6/22,,0,0,0,0.01
2014/6/23,,0.03,0.09,0.08,0.05
2014/6/24,,0.38,0.35,0.49,0.38
2014/6/25,,0,0,0,0
2014/6/26,,0,0,0,0
2014/6/27,,0,0,0,0
2014/6/28,,0.13,0.1,0.2,0.35
2014/6/29,,0.03,0,0.06,0.11
2014/6/30,,0,0,0,0
2014/7/1,,0.46,0.74,0.56,0.48
2014/7/2,,0,0,0.02,0.05
2014/7/3,,0.12,0.17,0.12,0.05
2014/7/4,,0,0,0,0
2014/7/5,,0,0,0,0
2014/7/6,,0,0.01,0,0
2014/7/7,,0.85,1.18,0.92,0.95
2014/7/8,,0.62,0.62,0.68,0.28
2014/7/9,,0,0,0,0
2014/7/10,,0,0,0,0
2014/7/11,,0,0,0,0
2014/7/12,,0,0,0.02,0.01
2014/7/13,,0.16,0.23,0.27,0.17
2014/7/14,,0.39,0.35,0.38,0.44
2014/7/15,,0.02,0,0.11,0.01
2014/7/16,,0,0,0,0
2014/7/17,,0,0,0,0
2014/7/18,,0,0,0,0
2014/7/19,,0,0,0,0
2014/7/20,,0,0,0,0
2014/7/21,,0,0,0,0
2014/7/22,,0,0,0,0
2014/7/23,,0.01,0.01,0,0
2014/7/24,,0,0,0,0
2014/7/25,,0,0,0,0
2014/7/26,,0,0,0,0
2014/7/27,,0.44,0.49,0.52,0.53
2014/7/28,,0.01,0,0.01,0.02
2014/7/29,,0.07,0.15,0.08,0.14
2014/7/30,,0.01,0.05,0.03,0.08
2014/7/31,,0,0,0.01,0
2014/8/1,,0,0,0,0
2014/8/2,,0,0,0,0
2014/8/3,,0,0,0,0
2014/8/4,,0,0.03,0.01,0
2014/8/5,,0,0,0.17,0
2014/8/6,,0,0,0.03,0
2014/8/7,,0,0,0,0
2014/8/8,,0,0,0,0
2014/8/9,,0,0,0,0
2014/8/10,,0,0,0.01,0
2014/8/11,,1.2,0.89,1.15,0.97
2014/8/12,,0.16,0.21,0.16,0.5
2014/8/13,,0,0.01,0,0
2014/8/14,,0,0,0,0
2014/8/15,,0,0,0,0
